 61 4348.888801 3.674E-25 1.615E-01.04500.059 1780.31200.60-.008600    1 0 0 1 1F2    0 0 0 0 1A1   18F1159        18F2  4     134332453638 7 1 7   111.0  111.0
 61 4348.921670 4.953E-26 1.211E-04.05300.070  575.05250.64-.008600    0 0 1 1 1E     0 0 0 0 1A1    9F1107        10F2  1     334332453638 7 1 7    57.0   63.0
 61 4348.930782 9.651E-27 4.251E-02.06400.058 2181.80760.59-.008600    0 1 1 0 1F2    0 0 0 0 1A1   19E 156        20E   2     133332453627 7 1 7    78.0   82.0
 61 4348.937600 2.495E-21 1.490E+00.06400.079   10.48160.69-.006390    1 0 0 1 1F2    0 0 0 0 1A1    2F2 20         1F1  1     466333453627 1 1 1    15.0    9.0
 61 4348.939108 5.829E-28 1.038E-04.06400.060 1594.38310.61-.008600    0 1 0 2 1F2    0 0 0 0 1A1   18F2 87        17F1  5     134332453627 7 1 7   111.0  105.0
 61 4348.954420 3.657E-28 2.953E-03.04500.057 2400.20140.58-.008600    0 1 1 0 1F1    0 0 0 0 1A1   20F2252        21F1  6     333332453637 7 1 7   123.0  129.0
 61 4348.967214 2.939E-28 3.192E-04.04500.058 1977.21470.60-.008600    0 0 1 1 1F1    0 0 0 0 1A1   19F2168        19F1  5     134332453638 7 1 7   117.0  117.0
 61 4348.975560 1.771E-24 4.332E-03.05300.070  575.16990.64-.008600    0 0 1 1 1E     0 0 0 0 1A1    9F1108        10F2  2     334332453638 7 1 7    57.0   63.0
 61 4348.991740 2.371E-26 4.789E-05.05300.070  575.05250.64-.008600    0 1 0 2 1F2    0 0 0 0 1A1   11F1 66        10F2  1     234332333638 7 1 7    69.0   63.0
 61 4348.997993 2.965E-25 4.149E-04.05000.074  376.82110.69-.008600    0 0 1 1 1F2    0 0 0 0 1A1    9E  38         8E   2     334332453638 7 1 7    38.0   34.0
 61 4349.002489 4.376E-24 1.546E-02.05300.068  690.04920.64-.008600    0 0 1 1 1F1    0 0 0 0 1A1   11F2 98        11F1  3     334332453638 7 1 7    69.0   69.0
 61 4349.004701 7.443E-24 1.822E-02.05300.070  575.25960.64-.008600    0 0 1 1 1E     0 0 0 0 1A1    9F2106        10F1  2     334332453638 7 1 7    57.0   63.0
 61 4349.010819 5.792E-26 2.124E-04.04100.070  575.05110.64-.008600    0 0 1 1 1E     0 0 0 0 1A1    9E  71        10E   1     134332453638 7 1 7    38.0   42.0
 61 4349.012934 2.445E-26 1.133E-02.04500.059 1779.63110.60-.008600    0 1 1 0 1F1    0 0 0 0 1A1   17F2201        18F1  2     234332333638 7 1 7   105.0  111.0
 61 4349.016095 5.270E-28 3.426E-04.04600.058 1976.71770.60-.008600    0 2 0 1 1F2    0 0 0 0 1A1   19A1 57        19A2  2     134332453638 7 1 7   195.0  195.0
 61 4349.034489 2.238E-26 1.030E-02.04500.059 1778.20460.60-.008600    0 1 1 0 1F1    0 0 0 0 1A1   17F1202        18F2  1     134332333638 7 1 7   105.0  111.0
 61 4349.034861 1.908E-23 1.989E-02.05600.074  376.80460.69-.008600    1 1 0 0 1E     0 0 0 0 1A1    8F2 76         8F1  2     434332453638 7 1 7    51.0   51.0
 61 4349.054072 1.684E-25 1.170E-01.03800.059 1779.65110.60-.008600    0 1 1 0 1F1    0 0 0 0 1A1   17E 134        18E   2     234332333638 7 1 7    70.0   74.0
 61 4349.069068 3.820E-27 1.117E-02.04600.058 2180.95040.59-.008600    0 1 1 0 1F2    0 0 0 0 1A1   19F1235        20F2  1     133332453637 7 1 7   117.0  123.0
 61 4349.075013 5.582E-27 2.446E-03.04500.059 1779.63110.60-.008600    1 1 0 0 1E     0 0 0 0 1A1   18F2161        18F1  2     134332453638 7 1 7   111.0  111.0
 61 4349.075317 1.055E-28 2.800E-05.03800.060 1593.04460.61-.008600    0 1 0 2 1F2    0 0 0 0 1A1   18E  58        17E   1     234332333638 7 1 7    74.0   70.0
 61 4349.080201 4.184E-24 1.024E-02.05300.070  575.18410.64-.008600    0 0 1 1 1E     0 0 0 0 1A1    9F2106        10F1  1     334332453638 7 1 7    57.0   63.0
 61 4349.083593 3.480E-25 4.867E-04.05000.074  376.73550.69-.008600    0 0 1 1 1F2    0 0 0 0 1A1    9E  38         8E   1     334332453638 7 1 7    38.0   34.0
 61 4349.087639 2.231E-28 2.417E-04.04500.058 1976.65030.60-.008600    0 2 0 1 1F2    0 0 0 0 1A1   19F1171        19F2  4     134332453638 7 1 7   117.0  117.0
 61 4349.091256 9.293E-28 1.064E-03.04500.058 1977.21470.60-.008600    0 1 1 0 1F2    0 0 0 0 1A1   18F2218        19F1  5     334332453638 7 1 7   111.0  117.0
 61 4349.091715 1.270E-25 5.883E-02.04500.059 1779.63110.60-.008600    0 1 1 0 1F1    0 0 0 0 1A1   17F2202        18F1  2     234332333638 7 1 7   105.0  111.0
 61 4349.092960 1.457E-26 3.562E-05.05300.070  575.05250.64-.008600    0 0 1 1 1E     0 0 0 0 1A1    9F1108        10F2  1     334332453638 7 1 7    57.0   63.0
 61 4349.094989 4.300E-25 1.518E-03.05300.068  689.95670.64-.008600    0 0 1 1 1F1    0 0 0 0 1A1   11F2 98        11F1  2     334332453638 7 1 7    69.0   69.0
 61 4349.105861 3.532E-23 3.681E-02.05600.074  376.73360.69-.008600    1 1 0 0 1E     0 0 0 0 1A1    8F2 76         8F1  1     434332453638 7 1 7    51.0   51.0
 61 4349.120804 1.436E-25 2.699E-02.04600.060 1594.02590.61-.008600    0 0 1 1 1F1    0 0 0 0 1A1   17F2150        17F1  4     334332453638 7 1 7   105.0  105.0
 61 4349.130999 2.459E-27 1.585E-03.04600.058 1975.00780.60-.008600    1 0 0 1 1F2    0 0 0 0 1A1   19A1 56        19A2  1     134332453638 7 1 7   195.0  195.0
 61 4349.154360 1.931E-23 2.835E-02.05000.070  575.22270.64-.008600    0 0 1 1 1E     0 0 0 0 1A1    9A2 37        10A1  1     334332453638 7 1 7    95.0  105.0
 61 4349.155815 1.389E-25 1.498E-01.04500.058 1975.75900.60-.008600    0 2 0 1 1F1    0 0 0 0 1A1   19F1170        19F2  3     134332453638 7 1 7   117.0  117.0
 61 4349.167545 1.392E-25 1.501E-01.04500.058 1975.72490.60-.008600    0 2 0 1 1F1    0 0 0 0 1A1   19F2167        19F1  2     134332453638 7 1 7   117.0  117.0
 61 4349.183107 2.492E-27 1.989E-02.04500.057 2397.80660.58-.008600    0 1 1 0 1F1    0 0 0 0 1A1   20F2251        21F1  3     333332453637 7 1 7   123.0  129.0
 61 4349.186456 7.676E-27 2.254E-02.04600.058 2181.82080.59-.008600    0 1 1 0 1F1    0 0 0 0 1A1   19F1236        20F2  2     133332333637 7 1 7   117.0  123.0
 61 4349.190989 2.600E-26 4.465E-02.03800.058 1977.19730.60-.008600    0 1 1 0 1F2    0 0 0 0 1A1   18E 146        19E   3     334332453638 7 1 7    74.0   78.0
 61 4349.198592 1.222E-27 5.646E-03.04500.057 2400.23140.58-.008600    0 1 0 2 1F1    0 0 0 0 1A1   21A1 61        21A2  2     133332453637 7 1 7   215.0  215.0
 61 4349.209596 1.011E-28 2.340E-03.04400.057 2626.65870.58-.008600    0 1 1 0 1F1    0 0 0 0 1A1   21F2264        22F1  5     133332453637 7 1 7   129.0  135.0
 61 4349.216462 3.922E-27 1.722E-03.04500.059 1779.98440.60-.008600    1 0 0 1 1F2    0 0 0 0 1A1   18F1159        18F2  3     134332453638 7 1 7   111.0  111.0
 61 4349.222694 1.626E-26 1.861E-02.04500.058 1977.17920.60-.008600    0 1 1 0 1F2    0 0 0 0 1A1   18F1217        19F2  5     334332453638 7 1 7   111.0  117.0
 61 4349.226186 1.977E-26 1.676E-03.04600.061 1418.09890.61-.008600    0 0 1 1 1F1    0 0 0 0 1A1   16F2144        16F1  4     334332453638 7 1 7    99.0   99.0
 61 4349.226784 5.670E-25 3.134E-03.04800.067  815.13150.63-.008600    0 0 1 1 1F2    0 0 0 0 1A1   13F2 73        12F1  3     134332453638 7 1 7    81.0   75.0
 61 4349.237517 1.138E-26 1.934E-02.03800.058 1975.01460.60-.008600    0 1 1 0 1F1    0 0 0 0 1A1   18E 145        19E   1     334332453638 7 1 7    74.0   78.0
 61 4349.239716 2.612E-28 6.977E-04.04600.058 2182.40010.59-.008600    0 1 0 2 1F2    0 0 0 0 1A1   21F1 96        20F2  3     133332453637 7 1 7   129.0  123.0
 61 4349.246460 1.282E-24 7.085E-03.04800.067  815.11590.63-.008600    0 0 1 1 1F2    0 0 0 0 1A1   13F1 73        12F2  3     334332453638 7 1 7    81.0   75.0
 61 4349.272195 1.124E-26 1.273E-02.04500.058 1975.01230.60-.008600    0 1 1 0 1F1    0 0 0 0 1A1   18F1216        19F2  2     334332453638 7 1 7   111.0  117.0
 61 4349.275059 1.183E-23 1.743E-02.05600.073  470.85480.65-.008600    1 0 0 1 1F2    0 0 0 0 1A1    9F2 81         9F1  3     434332453638 7 1 7    57.0   57.0
 61 4349.313585 1.774E-27 5.188E-03.04600.058 2180.95390.59-.008600    0 1 1 0 1F2    0 0 0 0 1A1   19F2232        20F1  2     133332453637 7 1 7   117.0  123.0
 61 4349.324759 3.644E-25 5.368E-04.05600.073  470.80510.65-.008600    1 0 0 1 1F2    0 0 0 0 1A1    9F2 81         9F1  2     434332453638 7 1 7    57.0   57.0
 61 4349.335725 3.047E-28 2.346E-03.04500.057 2400.21700.58-.008600    0 1 0 2 1F1    0 0 0 0 1A1   21F1188        21F2  5     133332453637 7 1 7   129.0  129.0
 61 4349.346489 1.869E-27 6.592E-06.05300.068  689.70520.64-.008600    0 0 1 1 1F1    0 0 0 0 1A1   11F2 98        11F1  1     334332453638 7 1 7    69.0   69.0
 61 4349.354260 3.999E-25 2.209E-03.04800.067  815.00810.63-.008600    0 0 1 1 1F2    0 0 0 0 1A1   13F1 73        12F2  2     334332453638 7 1 7    81.0   75.0
 61 4349.413059 7.694E-26 1.133E-04.05600.073  470.71680.65-.008600    1 0 0 1 1F2    0 0 0 0 1A1    9F2 81         9F1  1     434332453638 7 1 7    57.0   57.0
 61 4349.416504 1.169E-28 4.827E-05.04500.059 1778.20460.60-.008600    0 1 0 2 1F2    0 0 0 0 1A1   19F1 90        18F2  1     134332453638 7 1 7   117.0  111.0
 61 4349.427548 1.324E-22 1.042E-01.05760.078  293.16440.70-.008205    0 0 1 1 1F1    0 0 0 0 1A1    7F1 68         7F2  2     363333453637 1 1 1    45.0   45.0
 61 4349.458121 7.613E-23 8.987E-02.05500.075  293.17000.70-.008600    0 0 1 1 1F1    0 0 0 0 1A1    7E  45         7E   1     334332453638 7 1 7    30.0   30.0
 61 4349.465548 8.120E-24 6.389E-03.06200.075  293.12640.70-.008600    0 0 1 1 1F1    0 0 0 0 1A1    7F1 68         7F2  1     434332453638 7 1 7    45.0   45.0
 61 4349.469764 2.780E-25 2.594E-04.05600.074  376.80460.69-.008600    0 0 1 1 1F2    0 0 0 0 1A1    9F2 58         8F1  2     434332453638 7 1 7    57.0   51.0
 61 4349.473971 3.241E-24 1.789E-02.04800.067  814.88430.63-.008600    0 0 1 1 1F2    0 0 0 0 1A1   13F2 73        12F1  2     134332453638 7 1 7    81.0   75.0
