 61 7196.888000 2.944E-25 0.000E+00.04930.065  999.99000.62-.014000                   0 0 0 0 1A1                              552222504137 7 1 7     0.0    0.0
 61 7196.918800 1.504E-24 0.000E+00.05980.075  283.30000.70-.014000                   0 0 0 0 1A1                              553332504137 7 1 7     0.0    0.0
 61 7196.937700 6.639E-24 0.000E+00.06340.077  163.60000.72-.014000                   0 0 0 0 1A1                              553332504137 7 1 7     0.0    0.0
 61 7196.948600 8.282E-25 0.000E+00.04930.065  999.99000.62-.014000                   0 0 0 0 1A1                              552222504137 7 1 7     0.0    0.0
 61 7196.974800 8.919E-25 0.000E+00.06340.077  184.32000.72-.014000                   0 0 0 0 1A1                              553332504137 7 1 7     0.0    0.0
 61 7197.030800 2.657E-23 0.000E+00.06570.079   64.29000.73-.014000                   0 0 0 0 1A1                              553332504137 7 1 7     0.0    0.0
 61 7197.048500 8.404E-24 0.000E+00.06140.078  229.36000.70-.014000                   0 0 0 0 1A1                              553332504137 7 1 7     0.0    0.0
 61 7197.069200 9.747E-25 0.000E+00.04930.065  999.99000.62-.014000                   0 0 0 0 1A1                              552222504137 7 1 7     0.0    0.0
 61 7197.086600 1.307E-25 0.000E+00.04930.065  999.99000.62-.014000                   0 0 0 0 1A1                              552222504137 7 1 7     0.0    0.0
 61 7197.111200 4.208E-25 0.000E+00.06340.077  170.04000.72-.014000                   0 0 0 0 1A1                              553332504137 7 1 7     0.0    0.0
 61 7197.137600 1.611E-24 0.000E+00.05500.073  475.89000.65-.014000                   0 0 0 0 1A1                              553332504137 7 1 7     0.0    0.0
 61 7197.161700 2.241E-25 0.000E+00.04930.065  999.99000.62-.014000                   0 0 0 0 1A1                              552222504137 7 1 7     0.0    0.0
 61 7197.189800 2.437E-24 0.000E+00.05980.075  306.90000.70-.014000                   0 0 0 0 1A1                              553332504137 7 1 7     0.0    0.0
 61 7197.237000 1.954E-25 0.000E+00.04930.065  999.99000.62-.014000                   0 0 0 0 1A1                              552222504137 7 1 7     0.0    0.0
 61 7197.265500 3.221E-25 0.000E+00.04930.065  999.99000.62-.014000                   0 0 0 0 1A1                              552222504137 7 1 7     0.0    0.0
